,answer,question,global_conducivity,rhetoricity,relevance_rate,manner_rate,quality_rate,Committment_value,consistency_value,outcome_reason,outcome_value,annotator,which_qud,bias_question,what_bias_exp,detri_cond_explanation,relevance_binary,manner_binary,quality_binary,NRA,bat,pat,bat_cumsum,pat_cumsum,Z_BaT,Z_PaT,ZNRBaT,net_ZNRBaT
0,Richard Ofshe.,Please state your name for the Court.,1,0,1,1,1,3,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,0.5,0.0,0.5,0.0,-1.6612585163983677,-1.8708286933869698,-0.05933323967992814,0.20957017698860203
1,I'm a professor of sociology at the University of California at Berkeley.,"And what do you do for a living, Mr. Ofshe?",1,0,1,1,1,3,0,"{'choices': ['I choose this side because of their logical arguments are convincing.[Logical facts]', 'I choose this side because my personal emotions and bias towards this side/the other side. [Emotions]']}",Witness,katkazanas@gmail.com,,,,,0,0,0,1,0.5,0.0,1.0,0.0,-1.62930148234246,-1.8708286933869698,-0.06900520806891854,0.2415272110445097
2,"I received a Bachelor's Degree in psychology from Queens College of the City University of New York, and then a Master's Degree in sociology from the same institution, and then a Ph.D. in the sociology department of Stanford University with a specialty in a sub-field called social psychology.",Okay. Can you tell the Court and the jury a little about about your education and background?,1,0,1,1,2,2,0,"{'choices': ['I choose this side because of their logical arguments are convincing.[Logical facts]', 'I choose this side because of framing of the other side as creditless/bad.[Crediblity establishment]']}",Witness,katkazanas@gmail.com,,,,,0,0,0,1,1.0,0.0,2.0,0.0,-1.565387414230645,-1.8708286933869698,-0.08888884447028923,0.3054412791563248
3,"Social psychology is a specialty area that is found both within psychology and within sociology. It has to do principally and particularly the part that I specialize in -- it has to do with influence, decision making, belief, and attitude change, techniques of pressure and coercion and I specialize particularly extraordinary techniques control and influences.",Would you explain to the Court and the Jury what social psychology is?,1,0,2,1,2,3,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,0.5,0.0,2.5,0.0,-1.5334303801747375,-1.8708286933869698,-0.09911064520105078,0.33739831321223224
4,"All my work for the last thirty years or more has been on the subject of influence starting out doing work in traditional problems -- excuse me -- traditional problems in social psychology having to do with decision making, group influence, interpersonal influence. Then starting about the early part of the nineteen seventies I became interested in complex real world systems of influence. That is to say not laboratory research, but rather studying on-going very complicated influence environments and particularly those kinds of environments that have massive effects on individuals. So initially I did a lot of work for about ten or twelve years studying what are called cult groups. That is to say groups that are very strongly organized, that exert enormous pressure on individuals and that can lead individuals to change the way in which they see the world and be willing to take part in activities that they otherwise would ordinarily not take part in. During -- and I specialized in studying cult groups that generate violence. During that period of time I did a great deal of work often involving the analysis of groups that led their followers to commit murders. I did a lot of work for prosecutorial agencies, analyzing and prosecuting such crimes. Then my interest in influence continued and I began to become interested in the study of police interrogation. Ah, police interrogation is the root of -- out of which various studied round the world procedures of influence groups -particularly techniques that have to do with coercing confessions from individuals and generally manipulating them in extraordinary ways. And that work began in the late nineteen eighties and since then I've done a great deal of work and written about police interrogation tactics, in particular police interrogations that can and does lead to coerced and/or false confessions.",Do you have any experience or training in the area of influence and more specifically in the area of influence with regard to police interrogation?,2,0,1,1,2,2,0,"{'choices': ['I choose this side because of their logical arguments are convincing.[Logical facts]', 'I choose this side because of framing of the other side as creditless/bad.[Crediblity establishment]']}",Witness,katkazanas@gmail.com,What specific experiences do you have that relate to the influence of police interrogation on decision making?,,,,0,0,0,1,1.0,0.0,3.5,0.0,-1.4695163120629224,-1.8708286933869698,-0.12014099761231006,0.40131238132404734
5,"Yes. I've published four or five books, and thirty or more articles in scientific journals, and presented papers at dozens of conferences over the years. The work on all of these subjects have been published.","Has any of your work been published, Doctor Ofshe?",1,0,1,1,2,2,0,"{'choices': ['I choose this side because of their logical arguments are convincing.[Logical facts]', 'I choose this side because of framing of the other side as creditless/bad.[Crediblity establishment]']}",Witness,katkazanas@gmail.com,,,,,0,0,0,1,1.0,0.0,4.5,0.0,-1.4056022439511073,-1.8708286933869698,-0.1419918375614637,0.46522644943586244
6,"Yes, I am.",Are you familiar with a Doctor Gudjonsson?,1,0,1,1,2,3,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,0.5,0.0,5.0,0.0,-1.3736452098952,-1.8708286933869698,-0.1532400932517318,0.4971834834917699
7,He's one of the other people who is a specialist in techniques of interrogation and influencing police interrogations.,And how are you familiar with his work?,1,0,2,2,2,3,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,0.5,0.0,5.5,0.0,-1.3416881758392922,-1.8708286933869698,-0.16471213664789924,0.5291405175476775
8,"My work is discussed in that book, yes.","Are you mentioned in Doctor Gudjonsson's book, ""The Psychology of Interrogations, Confessions, and Testimony""?",1,0,1,1,2,2,0,"{'choices': ['I choose this side because of their logical arguments are convincing.[Logical facts]', 'I choose this side because of framing of the other side as creditless/bad.[Crediblity establishment]']}",Witness,katkazanas@gmail.com,,,,,0,0,0,1,1.0,0.0,6.5,0.0,-1.2777741077274773,-1.8708286933869698,-0.1883548428050629,0.5930545856594924
9,"Well, he asked me to review certain chapters of the book and I reviewed them, and made comments, and then he thanked me in the introduction for doing that, and then he also discusses my work in the substance of the book.",Did you contribute to the book in any form or fashion?,1,0,1,1,2,2,0,I choose this side because of framing of the other side as creditless/bad.[Crediblity establishment],Witness,katkazanas@gmail.com,,,,,0,0,0,1,1.0,0.0,7.5,0.0,-1.2138600396156622,-1.8708286933869698,-0.2129772922442697,0.6569686537713075
