,Unnamed: 0.1,Unnamed: 0,type,question,answer,source,all_history,raw_response,belief,Committment_value,quality_rate,consistency_value,relevance_rate,manner_rate,outcome_value,outcome_reason,relevance_binary,manner_binary,quality_binary,NRA,bat,pat,bat_cumsum,pat_cumsum,Z_BaT,Z_PaT,ZNRBaT,net_ZNRBaT
42,42,42,Q/A,"Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?","And again, could you elaborate on that, Mr. Hueston? I mean, what story are you talking about?",enron_defense_2,"PROSECUTION: Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?
","```json
{
    ""belief"": ""The witness's response does not directly address the question posed by the prosecution, which suggests an evasion or lack of commitment to answering. This could imply a lack of confidence in the truthfulness of their previous statements. Therefore, the prosecution's line of questioning remains more convincing."",
    ""Commitment_value"": 4,
    ""quality_rate"": 1,
    ""consistency_value"": 0,
    ""relevance_rate"": 4,
    ""manner_rate"": 3,
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": 1
}
```","The witness's response does not directly address the question posed by the prosecution, which suggests an evasion or lack of commitment to answering. This could imply a lack of confidence in the truthfulness of their previous statements. Therefore, the prosecution's line of questioning remains more convincing.",4,1,0,4,3,Questioner,1,1,1,0,-1.0,0.0,0.5,0.0,0.5,-1.3596084891245819,-1.5550082011761917,-0.06704130690730571,0.19539971205160978
43,43,43,Q/A,Are you having trouble with that question? I’m just posing the same question?,"Well, I'm not sure I – I’m telling stories up here. I'm up here to answer your questions.",enron_defense_2,"PROSECUTION: Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?
D_WITNESS: And again, could you elaborate on that, Mr. Hueston? I mean, what story are you talking about?

PROSECUTION: Are you having trouble with that question? I’m just posing the same question?
","```json
{
    ""belief"": ""The prosecution is more convincing in this turn because the witness's response is evasive and lacks clarity, indicating that he may not be fully engaging with the question asked."",
    ""Commitment_value"": 4,
    ""quality_rate"": 0,
    ""consistency_value"": 1,
    ""relevance_rate"": 2,
    ""manner_rate"": 3,
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": 1
}
```","The prosecution is more convincing in this turn because the witness's response is evasive and lacks clarity, indicating that he may not be fully engaging with the question asked.",4,0,1,2,3,Questioner,1,0,1,0,-1.0,0.0,0.5,0.0,1.0,-1.3596084891245819,-1.4938302250851543,-0.047038590768452966,0.1342217359605724
44,44,44,Q/A,Have you contacted witnesses to get your story straight?,I – I – I don’t know that I contacted witnesses.,enron_defense_2,"PROSECUTION: Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?
D_WITNESS: And again, could you elaborate on that, Mr. Hueston? I mean, what story are you talking about?

PROSECUTION: Are you having trouble with that question? I’m just posing the same question?
D_WITNESS: Well, I'm not sure I – I’m telling stories up here. I'm up here to answer your questions.

PROSECUTION: Have you contacted witnesses to get your story straight?
","```json
{
    ""belief"": ""The prosecution poses a direct question regarding potential collusion or coordination among witnesses, and the witness's response is noncommittal and lacks clarity about contacting other witnesses. This raises doubts about the credibility of the witness. Therefore, the prosecution's questioning is more convincing."",
    ""Commitment_value"": 4,
    ""quality_rate"": 1,
    ""consistency_value"": 0,
    ""relevance_rate"": 1,
    ""manner_rate"": 3,
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": 1
}
```","The prosecution poses a direct question regarding potential collusion or coordination among witnesses, and the witness's response is noncommittal and lacks clarity about contacting other witnesses. This raises doubts about the credibility of the witness. Therefore, the prosecution's questioning is more convincing.",4,1,0,1,3,Questioner,1,0,1,0,-1.0,0.0,0.5,0.0,1.5,-1.3596084891245819,-1.4326522489941167,-0.026159362151382922,0.07304375986953482
45,45,45,Q/A,"[Hueston asked Lay about his $120,000 investment in Photophete, a company doing business with Enron.]","Do you know if I told Mr. Duncan, the chairman of that committee, about the Photofete situation?",enron_defense_2,"PROSECUTION: Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?
D_WITNESS: And again, could you elaborate on that, Mr. Hueston? I mean, what story are you talking about?

PROSECUTION: Are you having trouble with that question? I’m just posing the same question?
D_WITNESS: Well, I'm not sure I – I’m telling stories up here. I'm up here to answer your questions.

PROSECUTION: Have you contacted witnesses to get your story straight?
D_WITNESS: I – I – I don’t know that I contacted witnesses.

PROSECUTION: [Hueston asked Lay about his $120,000 investment in Photophete, a company doing business with Enron.]
","```json
{
    ""belief"": ""The witness's response does not directly answer the prosecution's question about contacting witnesses to get his story straight. Instead, it shifts the focus back to a previous topic regarding Photofete, which suggests a lack of engagement with the current line of questioning. This may lead jurors to perceive the prosecution as more credible in this exchange."",
    ""Commitment_value"": 4,
    ""quality_rate"": 1,
    ""consistency_value"": 0,
    ""relevance_rate"": 2,
    ""manner_rate"": 3,
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": 1
}
```","The witness's response does not directly answer the prosecution's question about contacting witnesses to get his story straight. Instead, it shifts the focus back to a previous topic regarding Photofete, which suggests a lack of engagement with the current line of questioning. This may lead jurors to perceive the prosecution as more credible in this exchange.",4,1,0,2,3,Questioner,1,0,1,0,-1.0,0.0,0.5,0.0,2.0,-1.3596084891245819,-1.3714742729030793,-0.004344717759372417,0.011865783778497452
46,46,46,Q/A,"What we know and what you know, as the writer of those rules, is that telling one person-if it ever happened-does not satisfy your own rules . . .","I would think that the chairman of that committee, just like the chairman of any committee at Enron, can make a decision as to what he or she would like to do with that information or needs to do with that information.",enron_defense_2,"PROSECUTION: Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?
D_WITNESS: And again, could you elaborate on that, Mr. Hueston? I mean, what story are you talking about?

PROSECUTION: Are you having trouble with that question? I’m just posing the same question?
D_WITNESS: Well, I'm not sure I – I’m telling stories up here. I'm up here to answer your questions.

PROSECUTION: Have you contacted witnesses to get your story straight?
D_WITNESS: I – I – I don’t know that I contacted witnesses.

PROSECUTION: [Hueston asked Lay about his $120,000 investment in Photophete, a company doing business with Enron.]
D_WITNESS: Do you know if I told Mr. Duncan, the chairman of that committee, about the Photofete situation?

PROSECUTION: What we know and what you know, as the writer of those rules, is that telling one person-if it ever happened-does not satisfy your own rules . . .
","```json
{
    ""belief"": ""The prosecution maintains a strong line of questioning aimed at establishing inconsistencies and potential dishonesty in the witness's responses. Mr. Lay’s evasiveness, particularly in not answering straightforward questions about his communication with others regarding the 'story,' makes the prosecution's case more compelling. The witness’s attempt to redirect to the role of the committee chairman appears to sidestep the direct question posed by the prosecution."",
    ""Commitment_value"": 4,
    ""quality_rate"": 1,
    ""consistency_value"": 1,
    ""relevance_rate"": 1,
    ""manner_rate"": 3,
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": 1
}
```","The prosecution maintains a strong line of questioning aimed at establishing inconsistencies and potential dishonesty in the witness's responses. Mr. Lay’s evasiveness, particularly in not answering straightforward questions about his communication with others regarding the 'story,' makes the prosecution's case more compelling. The witness’s attempt to redirect to the role of the committee chairman appears to sidestep the direct question posed by the prosecution.",4,1,1,1,3,Questioner,1,0,1,0,-1.0,0.0,0.5,0.0,2.5,-1.3596084891245819,-1.3102962968120417,0.018469644525260114,-0.04931219231254014
47,47,47,Q/A,"Even though that's not what's called for by the code of conduct that you wrote, right?","I think we're now getting into form over substance, Mr. Hueston.",enron_defense_2,"PROSECUTION: Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?
D_WITNESS: And again, could you elaborate on that, Mr. Hueston? I mean, what story are you talking about?

PROSECUTION: Are you having trouble with that question? I’m just posing the same question?
D_WITNESS: Well, I'm not sure I – I’m telling stories up here. I'm up here to answer your questions.

PROSECUTION: Have you contacted witnesses to get your story straight?
D_WITNESS: I – I – I don’t know that I contacted witnesses.

PROSECUTION: [Hueston asked Lay about his $120,000 investment in Photophete, a company doing business with Enron.]
D_WITNESS: Do you know if I told Mr. Duncan, the chairman of that committee, about the Photofete situation?

PROSECUTION: What we know and what you know, as the writer of those rules, is that telling one person-if it ever happened-does not satisfy your own rules . . .
D_WITNESS: I would think that the chairman of that committee, just like the chairman of any committee at Enron, can make a decision as to what he or she would like to do with that information or needs to do with that information.

PROSECUTION: Even though that's not what's called for by the code of conduct that you wrote, right?
","```json
{
    ""belief"": ""The witness appears evasive and does not directly address the prosecution's inquiry about their conduct regarding witness discussions related to their story. This lack of direct response and clarity weakens their credibility in this turn."",
    ""Commitment_value"": 1,
    ""quality_rate"": 0,
    ""consistency_value"": 1,
    ""relevance_rate"": 1,
    ""manner_rate"": 3,
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": 1
}
```",The witness appears evasive and does not directly address the prosecution's inquiry about their conduct regarding witness discussions related to their story. This lack of direct response and clarity weakens their credibility in this turn.,1,0,1,1,3,Questioner,1,0,1,0,-1.0,0.4,1.08,0.4,3.58,-1.2636361251863761,-1.1781518684554009,0.0350088774920548,-0.08548425673097526
48,48,48,Q/A,"Well, that's what you would call your rules, then, form over substance, right?","No. The rules were very-very important. But, again, if I did notify Mr. Duncan, which I normally would have, then I would Jet him decide whether to take it up with the full committee or whether, in fact, it was even a large enough investment that he should take the time of the full committee.",enron_defense_2,"PROSECUTION: Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?
D_WITNESS: And again, could you elaborate on that, Mr. Hueston? I mean, what story are you talking about?

PROSECUTION: Are you having trouble with that question? I’m just posing the same question?
D_WITNESS: Well, I'm not sure I – I’m telling stories up here. I'm up here to answer your questions.

PROSECUTION: Have you contacted witnesses to get your story straight?
D_WITNESS: I – I – I don’t know that I contacted witnesses.

PROSECUTION: [Hueston asked Lay about his $120,000 investment in Photophete, a company doing business with Enron.]
D_WITNESS: Do you know if I told Mr. Duncan, the chairman of that committee, about the Photofete situation?

PROSECUTION: What we know and what you know, as the writer of those rules, is that telling one person-if it ever happened-does not satisfy your own rules . . .
D_WITNESS: I would think that the chairman of that committee, just like the chairman of any committee at Enron, can make a decision as to what he or she would like to do with that information or needs to do with that information.

PROSECUTION: Even though that's not what's called for by the code of conduct that you wrote, right?
D_WITNESS: I think we're now getting into form over substance, Mr. Hueston.

PROSECUTION: Well, that's what you would call your rules, then, form over substance, right?
","```json
{
    ""belief"": ""The witness demonstrates a lack of commitment to answering the prosecutor's questions directly and appears to be evading the questions regarding the potential conversations held about getting their story straight. The witness's statement about the importance of the rules contradicts previous responses about their actions related to notification, making it difficult to consider their response truthful and consistent."",
    ""Commitment_value"": 1,
    ""quality_rate"": 0,
    ""consistency_value"": 1,
    ""relevance_rate"": 1,
    ""manner_rate"": 2,
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": 1
}
```","The witness demonstrates a lack of commitment to answering the prosecutor's questions directly and appears to be evading the questions regarding the potential conversations held about getting their story straight. The witness's statement about the importance of the rules contradicts previous responses about their actions related to notification, making it difficult to consider their response truthful and consistent.",1,0,1,1,2,Questioner,1,0,0,0,-1.0,0.0,1.08,0.4,4.66,-1.2636361251863761,-1.04600744009876,0.09422609114179435,-0.21762868508761612
49,49,49,Q/A,"Right. The rules were important, but you didn't follow them?","Rules are important, but they should not-you should not be a slave to rules, either....",enron_defense_2,"PROSECUTION: Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?
D_WITNESS: And again, could you elaborate on that, Mr. Hueston? I mean, what story are you talking about?

PROSECUTION: Are you having trouble with that question? I’m just posing the same question?
D_WITNESS: Well, I'm not sure I – I’m telling stories up here. I'm up here to answer your questions.

PROSECUTION: Have you contacted witnesses to get your story straight?
D_WITNESS: I – I – I don’t know that I contacted witnesses.

PROSECUTION: [Hueston asked Lay about his $120,000 investment in Photophete, a company doing business with Enron.]
D_WITNESS: Do you know if I told Mr. Duncan, the chairman of that committee, about the Photofete situation?

PROSECUTION: What we know and what you know, as the writer of those rules, is that telling one person-if it ever happened-does not satisfy your own rules . . .
D_WITNESS: I would think that the chairman of that committee, just like the chairman of any committee at Enron, can make a decision as to what he or she would like to do with that information or needs to do with that information.

PROSECUTION: Even though that's not what's called for by the code of conduct that you wrote, right?
D_WITNESS: I think we're now getting into form over substance, Mr. Hueston.

PROSECUTION: Well, that's what you would call your rules, then, form over substance, right?
D_WITNESS: No. The rules were very-very important. But, again, if I did notify Mr. Duncan, which I normally would have, then I would Jet him decide whether to take it up with the full committee or whether, in fact, it was even a large enough investment that he should take the time of the full committee.

PROSECUTION: Right. The rules were important, but you didn't follow them?
","```json
{
    ""belief"": ""The prosecution maintains a strong position by highlighting Mr. Lay's potential failure to adhere to the rules he created, questioning his integrity and reliability as a witness. Mr. Lay's response, while attempting to provide a rationale behind flexibility in rules, does not convincingly undermine the prosecution's arguments, leading to the conclusion that the prosecution remains more convincing."",
    ""Commitment_value"": 2,
    ""quality_rate"": 1,
    ""consistency_value"": 1,
    ""relevance_rate"": 1,
    ""manner_rate"": 2,
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": 1
}
```","The prosecution maintains a strong position by highlighting Mr. Lay's potential failure to adhere to the rules he created, questioning his integrity and reliability as a witness. Mr. Lay's response, while attempting to provide a rationale behind flexibility in rules, does not convincingly undermine the prosecution's arguments, leading to the conclusion that the prosecution remains more convincing.",2,1,1,1,2,Questioner,1,0,0,0,-1.0,1.0,0.27999999999999997,1.4,4.94,-1.0237052153408617,-1.011747773487779,0.005874585126116833,-0.011957441853082784
50,50,50,Q/A,"One of the things your attorney said in opening was, quote, “He had real estate in Aspen. He could have sold his home up there. But that’s a long, tedious process; and he's got a wife and children to put up with."" Do you remember that statement?","I don't. I find the phrasing kind of interesting; but, no, I do not. I mean, he well may have said it.",enron_defense_2,"PROSECUTION: Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?
D_WITNESS: And again, could you elaborate on that, Mr. Hueston? I mean, what story are you talking about?

PROSECUTION: Are you having trouble with that question? I’m just posing the same question?
D_WITNESS: Well, I'm not sure I – I’m telling stories up here. I'm up here to answer your questions.

PROSECUTION: Have you contacted witnesses to get your story straight?
D_WITNESS: I – I – I don’t know that I contacted witnesses.

PROSECUTION: [Hueston asked Lay about his $120,000 investment in Photophete, a company doing business with Enron.]
D_WITNESS: Do you know if I told Mr. Duncan, the chairman of that committee, about the Photofete situation?

PROSECUTION: What we know and what you know, as the writer of those rules, is that telling one person-if it ever happened-does not satisfy your own rules . . .
D_WITNESS: I would think that the chairman of that committee, just like the chairman of any committee at Enron, can make a decision as to what he or she would like to do with that information or needs to do with that information.

PROSECUTION: Even though that's not what's called for by the code of conduct that you wrote, right?
D_WITNESS: I think we're now getting into form over substance, Mr. Hueston.

PROSECUTION: Well, that's what you would call your rules, then, form over substance, right?
D_WITNESS: No. The rules were very-very important. But, again, if I did notify Mr. Duncan, which I normally would have, then I would Jet him decide whether to take it up with the full committee or whether, in fact, it was even a large enough investment that he should take the time of the full committee.

PROSECUTION: Right. The rules were important, but you didn't follow them?
D_WITNESS: Rules are important, but they should not-you should not be a slave to rules, either....

PROSECUTION: One of the things your attorney said in opening was, quote, “He had real estate in Aspen. He could have sold his home up there. But that’s a long, tedious process; and he's got a wife and children to put up with."" Do you remember that statement?
","```json
{
    ""belief"": ""The prosecution's question about the witness's recollection of his attorney's statement fosters doubt about the witness's engagement with the cross-examination. The witness's inability to recall the statement may suggest a lack of preparation or oversight, which can be viewed unfavorably. Therefore, the prosecution is more convincing in this turn."",
    ""Commitment_value"": 1,
    ""quality_rate"": 1,
    ""consistency_value"": 1,
    ""relevance_rate"": 1,
    ""manner_rate"": 2,
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": 1
}
```","The prosecution's question about the witness's recollection of his attorney's statement fosters doubt about the witness's engagement with the cross-examination. The witness's inability to recall the statement may suggest a lack of preparation or oversight, which can be viewed unfavorably. Therefore, the prosecution is more convincing in this turn.",1,1,1,1,2,Questioner,1,0,0,0,-1.0,0.0,1.28,1.4,6.220000000000001,-1.0237052153408617,-0.8551321546947231,0.08972200752156947,-0.16857306064613853
51,51,51,Q/A,"Selling property in Aspen, in fact, was not a long, tedious process for you, was it?","Yes, it was....",enron_defense_2,"PROSECUTION: Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?
D_WITNESS: And again, could you elaborate on that, Mr. Hueston? I mean, what story are you talking about?

PROSECUTION: Are you having trouble with that question? I’m just posing the same question?
D_WITNESS: Well, I'm not sure I – I’m telling stories up here. I'm up here to answer your questions.

PROSECUTION: Have you contacted witnesses to get your story straight?
D_WITNESS: I – I – I don’t know that I contacted witnesses.

PROSECUTION: [Hueston asked Lay about his $120,000 investment in Photophete, a company doing business with Enron.]
D_WITNESS: Do you know if I told Mr. Duncan, the chairman of that committee, about the Photofete situation?

PROSECUTION: What we know and what you know, as the writer of those rules, is that telling one person-if it ever happened-does not satisfy your own rules . . .
D_WITNESS: I would think that the chairman of that committee, just like the chairman of any committee at Enron, can make a decision as to what he or she would like to do with that information or needs to do with that information.

PROSECUTION: Even though that's not what's called for by the code of conduct that you wrote, right?
D_WITNESS: I think we're now getting into form over substance, Mr. Hueston.

PROSECUTION: Well, that's what you would call your rules, then, form over substance, right?
D_WITNESS: No. The rules were very-very important. But, again, if I did notify Mr. Duncan, which I normally would have, then I would Jet him decide whether to take it up with the full committee or whether, in fact, it was even a large enough investment that he should take the time of the full committee.

PROSECUTION: Right. The rules were important, but you didn't follow them?
D_WITNESS: Rules are important, but they should not-you should not be a slave to rules, either....

PROSECUTION: One of the things your attorney said in opening was, quote, “He had real estate in Aspen. He could have sold his home up there. But that’s a long, tedious process; and he's got a wife and children to put up with."" Do you remember that statement?
D_WITNESS: I don't. I find the phrasing kind of interesting; but, no, I do not. I mean, he well may have said it.

PROSECUTION: Selling property in Aspen, in fact, was not a long, tedious process for you, was it?
","{
    ""belief"": ""The prosecution is more convincing in this turn of cross-examination. The witness attempts to downplay his past statements and the ease of selling property, which raises consistency issues with his case narrative."",
    ""Commitment_value"": ""1"",
    ""quality_rate"": ""1"", 
    ""consistency_value"": ""1"",
    ""relevance_rate"": ""1"",
    ""manner_rate"": ""2"", 
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": ""1. Logical arguments are convincing""
}","The prosecution is more convincing in this turn of cross-examination. The witness attempts to downplay his past statements and the ease of selling property, which raises consistency issues with his case narrative.",1,1,1,1,2,Questioner,1. Logical arguments are convincing,0,0,0,-1.0,0.0,1.28,1.4,7.500000000000001,-1.0237052153408617,-0.6985165359016672,0.18881928485956068,-0.3251886794391945
