,Unnamed: 0.1,Unnamed: 0,type,question,answer,source,all_history,raw_response,belief,Committment_value,quality_rate,consistency_value,relevance_rate,manner_rate,outcome_value,outcome_reason,relevance_binary,manner_binary,quality_binary,NRA,bat,pat,bat_cumsum,pat_cumsum,Z_BaT,Z_PaT,ZNRBaT,net_ZNRBaT
42,42,42,Q/A,"Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?","And again, could you elaborate on that, Mr. Hueston? I mean, what story are you talking about?",enron_defense_2,"PROSECUTION: Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?
","{
  ""belief"": ""The witness asks for clarification rather than directly answering the question, which does not commit them to a position and fails to clarify their previous testimony. Although the response is clear, it evades providing any substantive commitment on the key issue about their story, thereby benefiting the questioner."",
  ""Commitment_value"": ""4"",
  ""quality_rate"": ""1"",
  ""consistency_value"": ""0"",
  ""relevance_rate"": ""4"",
  ""manner_rate"": ""1"",
  ""outcome_value"": ""Questioner"",
  ""outcome_reason"": ""1""
}","The witness asks for clarification rather than directly answering the question, which does not commit them to a position and fails to clarify their previous testimony. Although the response is clear, it evades providing any substantive commitment on the key issue about their story, thereby benefiting the questioner.",4,1,0,4,1,Questioner,1,1,0,0,-1.0,0.0,0.5,0.0,0.5,-1.2238741976963812,-1.6113060410475166,-0.13665157440670644,0.38743184335113545
43,43,43,Q/A,Are you having trouble with that question? I’m just posing the same question?,"Well, I'm not sure I – I’m telling stories up here. I'm up here to answer your questions.",enron_defense_2,"PROSECUTION: Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?
D_WITNESS: And again, could you elaborate on that, Mr. Hueston? I mean, what story are you talking about?

PROSECUTION: Are you having trouble with that question? I’m just posing the same question?
","{
  ""belief"": ""The witness evaded the direct yes/no question by providing a vague, noncommittal response. He did not commit to any specific story or fact about having had a conversation, which benefits the questioner by failing to clarify his own narrative."",
  ""Commitment_value"": ""4"",
  ""quality_rate"": ""1"",
  ""consistency_value"": ""0"",
  ""relevance_rate"": ""4"",
  ""manner_rate"": ""2"",
  ""outcome_value"": ""Questioner"",
  ""outcome_reason"": ""1""
}","The witness evaded the direct yes/no question by providing a vague, noncommittal response. He did not commit to any specific story or fact about having had a conversation, which benefits the questioner by failing to clarify his own narrative.",4,1,0,4,2,Questioner,1,1,0,0,-1.0,0.0,0.5,0.0,1.0,-1.2238741976963812,-1.5378050052166619,-0.11367388623166072,0.3139308075202807
44,44,44,Q/A,Have you contacted witnesses to get your story straight?,I – I – I don’t know that I contacted witnesses.,enron_defense_2,"PROSECUTION: Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?
D_WITNESS: And again, could you elaborate on that, Mr. Hueston? I mean, what story are you talking about?

PROSECUTION: Are you having trouble with that question? I’m just posing the same question?
D_WITNESS: Well, I'm not sure I – I’m telling stories up here. I'm up here to answer your questions.

PROSECUTION: Have you contacted witnesses to get your story straight?
","{
  ""belief"": ""The witness’s answer is ambiguous and avoids a direct yes or no, which does not strengthen his position. Although his response sounds truth‐oriented, his hesitancy and lack of a firm commitment ultimately benefit the questioner."",
  ""Commitment_value"": ""4"",
  ""quality_rate"": ""1"",
  ""consistency_value"": ""0"",
  ""relevance_rate"": ""1"",
  ""manner_rate"": ""2"",
  ""outcome_value"": ""Questioner"",
  ""outcome_reason"": ""1""
}","The witness’s answer is ambiguous and avoids a direct yes or no, which does not strengthen his position. Although his response sounds truth‐oriented, his hesitancy and lack of a firm commitment ultimately benefit the questioner.",4,1,0,1,2,Questioner,1,0,0,0,-1.0,0.0,0.5,0.0,1.5,-1.2238741976963812,-1.464303969385807,-0.08943967131107014,0.24042977168942592
45,45,45,Q/A,"[Hueston asked Lay about his $120,000 investment in Photophete, a company doing business with Enron.]","Do you know if I told Mr. Duncan, the chairman of that committee, about the Photofete situation?",enron_defense_2,"PROSECUTION: Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?
D_WITNESS: And again, could you elaborate on that, Mr. Hueston? I mean, what story are you talking about?

PROSECUTION: Are you having trouble with that question? I’m just posing the same question?
D_WITNESS: Well, I'm not sure I – I’m telling stories up here. I'm up here to answer your questions.

PROSECUTION: Have you contacted witnesses to get your story straight?
D_WITNESS: I – I – I don’t know that I contacted witnesses.

PROSECUTION: [Hueston asked Lay about his $120,000 investment in Photophete, a company doing business with Enron.]
","{
  ""belief"": ""The witness deflected the direct question by asking back a question about whether he told Mr. Duncan about the Photofete situation. This deflection avoids committing to an answer regarding witness contact and thus does not address the prosecution’s inquiry, which ultimately benefits the questioner."",
  ""Commitment_value"": ""4"",
  ""quality_rate"": ""1"",
  ""consistency_value"": ""0"",
  ""relevance_rate"": ""4"",
  ""manner_rate"": ""1"",
  ""outcome_value"": ""Questioner"",
  ""outcome_reason"": ""1""
}","The witness deflected the direct question by asking back a question about whether he told Mr. Duncan about the Photofete situation. This deflection avoids committing to an answer regarding witness contact and thus does not address the prosecution’s inquiry, which ultimately benefits the questioner.",4,1,0,4,1,Questioner,1,1,0,0,-1.0,0.0,0.5,0.0,2.0,-1.2238741976963812,-1.3908029335549523,-0.0638429631954911,0.16692873585857115
46,46,46,Q/A,"What we know and what you know, as the writer of those rules, is that telling one person-if it ever happened-does not satisfy your own rules . . .","I would think that the chairman of that committee, just like the chairman of any committee at Enron, can make a decision as to what he or she would like to do with that information or needs to do with that information.",enron_defense_2,"PROSECUTION: Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?
D_WITNESS: And again, could you elaborate on that, Mr. Hueston? I mean, what story are you talking about?

PROSECUTION: Are you having trouble with that question? I’m just posing the same question?
D_WITNESS: Well, I'm not sure I – I’m telling stories up here. I'm up here to answer your questions.

PROSECUTION: Have you contacted witnesses to get your story straight?
D_WITNESS: I – I – I don’t know that I contacted witnesses.

PROSECUTION: [Hueston asked Lay about his $120,000 investment in Photophete, a company doing business with Enron.]
D_WITNESS: Do you know if I told Mr. Duncan, the chairman of that committee, about the Photofete situation?

PROSECUTION: What we know and what you know, as the writer of those rules, is that telling one person-if it ever happened-does not satisfy your own rules . . .
","{
  ""belief"": ""The witness’s response deflects the direct question, providing an opinion about the chairman’s discretion rather than confirming or denying any action on his part. This evasion shows a lack of direct commitment and relevance, which ultimately benefits the questioner as it fails to clarify the issue under inquiry."",
  ""Commitment_value"": ""4"",
  ""quality_rate"": ""1"",
  ""consistency_value"": ""0"",
  ""relevance_rate"": ""4"",
  ""manner_rate"": ""2"",
  ""outcome_value"": ""Questioner"",
  ""outcome_reason"": ""1""
}","The witness’s response deflects the direct question, providing an opinion about the chairman’s discretion rather than confirming or denying any action on his part. This evasion shows a lack of direct commitment and relevance, which ultimately benefits the questioner as it fails to clarify the issue under inquiry.",4,1,0,4,2,Questioner,1,1,0,0,-1.0,0.0,0.5,0.0,2.5,-1.2238741976963812,-1.3173018977240976,-0.03676553553139625,0.09342770002771639
47,47,47,Q/A,"Even though that's not what's called for by the code of conduct that you wrote, right?","I think we're now getting into form over substance, Mr. Hueston.",enron_defense_2,"PROSECUTION: Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?
D_WITNESS: And again, could you elaborate on that, Mr. Hueston? I mean, what story are you talking about?

PROSECUTION: Are you having trouble with that question? I’m just posing the same question?
D_WITNESS: Well, I'm not sure I – I’m telling stories up here. I'm up here to answer your questions.

PROSECUTION: Have you contacted witnesses to get your story straight?
D_WITNESS: I – I – I don’t know that I contacted witnesses.

PROSECUTION: [Hueston asked Lay about his $120,000 investment in Photophete, a company doing business with Enron.]
D_WITNESS: Do you know if I told Mr. Duncan, the chairman of that committee, about the Photofete situation?

PROSECUTION: What we know and what you know, as the writer of those rules, is that telling one person-if it ever happened-does not satisfy your own rules . . .
D_WITNESS: I would think that the chairman of that committee, just like the chairman of any committee at Enron, can make a decision as to what he or she would like to do with that information or needs to do with that information.

PROSECUTION: Even though that's not what's called for by the code of conduct that you wrote, right?
","{
  ""belief"": ""The witness’s response is evasive; instead of addressing the question about whether he contacted any witnesses or discussing the code of conduct he authored, he deflects by claiming the discussion has become more about form than substance. This does not provide any clear commitment or detail, so it inadvertently favors the questioner."",
  ""Commitment_value"": ""4"",
  ""quality_rate"": ""1"",
  ""consistency_value"": ""0"",
  ""relevance_rate"": ""4"",
  ""manner_rate"": ""2"",
  ""outcome_value"": ""Questioner"",
  ""outcome_reason"": ""1""
}","The witness’s response is evasive; instead of addressing the question about whether he contacted any witnesses or discussing the code of conduct he authored, he deflects by claiming the discussion has become more about form than substance. This does not provide any clear commitment or detail, so it inadvertently favors the questioner.",4,1,0,4,2,Questioner,1,1,0,0,-1.0,0.0,0.5,0.0,3.0,-1.2238741976963812,-1.2438008618932428,-0.008075076221816434,0.01992666419686162
48,48,48,Q/A,"Well, that's what you would call your rules, then, form over substance, right?","No. The rules were very-very important. But, again, if I did notify Mr. Duncan, which I normally would have, then I would Jet him decide whether to take it up with the full committee or whether, in fact, it was even a large enough investment that he should take the time of the full committee.",enron_defense_2,"PROSECUTION: Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?
D_WITNESS: And again, could you elaborate on that, Mr. Hueston? I mean, what story are you talking about?

PROSECUTION: Are you having trouble with that question? I’m just posing the same question?
D_WITNESS: Well, I'm not sure I – I’m telling stories up here. I'm up here to answer your questions.

PROSECUTION: Have you contacted witnesses to get your story straight?
D_WITNESS: I – I – I don’t know that I contacted witnesses.

PROSECUTION: [Hueston asked Lay about his $120,000 investment in Photophete, a company doing business with Enron.]
D_WITNESS: Do you know if I told Mr. Duncan, the chairman of that committee, about the Photofete situation?

PROSECUTION: What we know and what you know, as the writer of those rules, is that telling one person-if it ever happened-does not satisfy your own rules . . .
D_WITNESS: I would think that the chairman of that committee, just like the chairman of any committee at Enron, can make a decision as to what he or she would like to do with that information or needs to do with that information.

PROSECUTION: Even though that's not what's called for by the code of conduct that you wrote, right?
D_WITNESS: I think we're now getting into form over substance, Mr. Hueston.

PROSECUTION: Well, that's what you would call your rules, then, form over substance, right?
","{
  ""belief"": ""The witness clearly stated his position by denying that he contacted Mr. Duncan, and he supported his answer with an explanation of his usual procedure. By prefacing the answer with a direct 'No' and explaining that he normally notifies Mr. Duncan to let him decide on raising the matter before the full committee, the witness sidesteps a potential trap while reinforcing his commitment to established practices. This careful framing benefits the witness by countering the prosecution’s implication that he had coordinated his story."",
  ""Commitment_value"": ""2"",
  ""quality_rate"": ""1"",
  ""consistency_value"": ""0"",
  ""relevance_rate"": ""1"",
  ""manner_rate"": ""2"",
  ""outcome_value"": ""Witness"",
  ""outcome_reason"": ""1""
}","The witness clearly stated his position by denying that he contacted Mr. Duncan, and he supported his answer with an explanation of his usual procedure. By prefacing the answer with a direct 'No' and explaining that he normally notifies Mr. Duncan to let him decide on raising the matter before the full committee, the witness sidesteps a potential trap while reinforcing his commitment to established practices. This careful framing benefits the witness by countering the prosecution’s implication that he had coordinated his story.",2,1,0,1,2,Witness,1,0,0,0,-0.7142857142857143,1.0,0.0,1.0,3.0,-0.589924972990342,-1.2438008618932428,-0.3565832342349109,0.6538758889029008
49,49,49,Q/A,"Right. The rules were important, but you didn't follow them?","Rules are important, but they should not-you should not be a slave to rules, either....",enron_defense_2,"PROSECUTION: Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?
D_WITNESS: And again, could you elaborate on that, Mr. Hueston? I mean, what story are you talking about?

PROSECUTION: Are you having trouble with that question? I’m just posing the same question?
D_WITNESS: Well, I'm not sure I – I’m telling stories up here. I'm up here to answer your questions.

PROSECUTION: Have you contacted witnesses to get your story straight?
D_WITNESS: I – I – I don’t know that I contacted witnesses.

PROSECUTION: [Hueston asked Lay about his $120,000 investment in Photophete, a company doing business with Enron.]
D_WITNESS: Do you know if I told Mr. Duncan, the chairman of that committee, about the Photofete situation?

PROSECUTION: What we know and what you know, as the writer of those rules, is that telling one person-if it ever happened-does not satisfy your own rules . . .
D_WITNESS: I would think that the chairman of that committee, just like the chairman of any committee at Enron, can make a decision as to what he or she would like to do with that information or needs to do with that information.

PROSECUTION: Even though that's not what's called for by the code of conduct that you wrote, right?
D_WITNESS: I think we're now getting into form over substance, Mr. Hueston.

PROSECUTION: Well, that's what you would call your rules, then, form over substance, right?
D_WITNESS: No. The rules were very-very important. But, again, if I did notify Mr. Duncan, which I normally would have, then I would Jet him decide whether to take it up with the full committee or whether, in fact, it was even a large enough investment that he should take the time of the full committee.

PROSECUTION: Right. The rules were important, but you didn't follow them?
","{
  ""belief"": ""The witness’s answer is vague and evasive—he avoids a clear commitment to whether he followed his own rules. This ambiguity weakens his defense and inadvertently supports the prosecution’s line of questioning, making the questioner’s line of argument more convincing."",
  ""Commitment_value"": ""4"",
  ""quality_rate"": ""1"",
  ""consistency_value"": ""0"",
  ""relevance_rate"": ""3"",
  ""manner_rate"": ""3"",
  ""outcome_value"": ""Questioner"",
  ""outcome_reason"": ""1""
}","The witness’s answer is vague and evasive—he avoids a clear commitment to whether he followed his own rules. This ambiguity weakens his defense and inadvertently supports the prosecution’s line of questioning, making the questioner’s line of argument more convincing.",4,1,0,3,3,Questioner,1,1,1,0,-0.75,0.0,0.5,1.0,3.5,-0.589924972990342,-1.170299826062388,-0.3297163256558915,0.5803748530720461
50,50,50,Q/A,"One of the things your attorney said in opening was, quote, “He had real estate in Aspen. He could have sold his home up there. But that’s a long, tedious process; and he's got a wife and children to put up with."" Do you remember that statement?","I don't. I find the phrasing kind of interesting; but, no, I do not. I mean, he well may have said it.",enron_defense_2,"PROSECUTION: Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?
D_WITNESS: And again, could you elaborate on that, Mr. Hueston? I mean, what story are you talking about?

PROSECUTION: Are you having trouble with that question? I’m just posing the same question?
D_WITNESS: Well, I'm not sure I – I’m telling stories up here. I'm up here to answer your questions.

PROSECUTION: Have you contacted witnesses to get your story straight?
D_WITNESS: I – I – I don’t know that I contacted witnesses.

PROSECUTION: [Hueston asked Lay about his $120,000 investment in Photophete, a company doing business with Enron.]
D_WITNESS: Do you know if I told Mr. Duncan, the chairman of that committee, about the Photofete situation?

PROSECUTION: What we know and what you know, as the writer of those rules, is that telling one person-if it ever happened-does not satisfy your own rules . . .
D_WITNESS: I would think that the chairman of that committee, just like the chairman of any committee at Enron, can make a decision as to what he or she would like to do with that information or needs to do with that information.

PROSECUTION: Even though that's not what's called for by the code of conduct that you wrote, right?
D_WITNESS: I think we're now getting into form over substance, Mr. Hueston.

PROSECUTION: Well, that's what you would call your rules, then, form over substance, right?
D_WITNESS: No. The rules were very-very important. But, again, if I did notify Mr. Duncan, which I normally would have, then I would Jet him decide whether to take it up with the full committee or whether, in fact, it was even a large enough investment that he should take the time of the full committee.

PROSECUTION: Right. The rules were important, but you didn't follow them?
D_WITNESS: Rules are important, but they should not-you should not be a slave to rules, either....

PROSECUTION: One of the things your attorney said in opening was, quote, “He had real estate in Aspen. He could have sold his home up there. But that’s a long, tedious process; and he's got a wife and children to put up with."" Do you remember that statement?
","{
  ""belief"": ""The witness’s response is ambiguous and noncommittal, as he doesn’t clearly confirm or deny remembering the statement. This noncommittal answer benefits the questioner because it fails to provide a clear, reliable memory of the statement, thereby weakening the witness’s position."",
  ""Commitment_value"": ""4"",
  ""quality_rate"": ""1"",
  ""consistency_value"": ""0"",
  ""relevance_rate"": ""1"",
  ""manner_rate"": ""2"",
  ""outcome_value"": ""Questioner"",
  ""outcome_reason"": ""1""
}","The witness’s response is ambiguous and noncommittal, as he doesn’t clearly confirm or deny remembering the statement. This noncommittal answer benefits the questioner because it fails to provide a clear, reliable memory of the statement, thereby weakening the witness’s position.",4,1,0,1,2,Questioner,1,0,0,0,-0.7777777777777778,0.0,0.5,1.0,4.0,-0.589924972990342,-1.0967987902315333,-0.3005079007560742,0.5068738172411913
51,51,51,Q/A,"Selling property in Aspen, in fact, was not a long, tedious process for you, was it?","Yes, it was....",enron_defense_2,"PROSECUTION: Mr. Petrocelli asked Mr. Skilling, ""Did you have one conversation with one person about getting your story straight? His answer was: ""No.” I’ll pose that question to you, Mr. Lay: Did you have one conversation with one person about getting your story straight for trial?
D_WITNESS: And again, could you elaborate on that, Mr. Hueston? I mean, what story are you talking about?

PROSECUTION: Are you having trouble with that question? I’m just posing the same question?
D_WITNESS: Well, I'm not sure I – I’m telling stories up here. I'm up here to answer your questions.

PROSECUTION: Have you contacted witnesses to get your story straight?
D_WITNESS: I – I – I don’t know that I contacted witnesses.

PROSECUTION: [Hueston asked Lay about his $120,000 investment in Photophete, a company doing business with Enron.]
D_WITNESS: Do you know if I told Mr. Duncan, the chairman of that committee, about the Photofete situation?

PROSECUTION: What we know and what you know, as the writer of those rules, is that telling one person-if it ever happened-does not satisfy your own rules . . .
D_WITNESS: I would think that the chairman of that committee, just like the chairman of any committee at Enron, can make a decision as to what he or she would like to do with that information or needs to do with that information.

PROSECUTION: Even though that's not what's called for by the code of conduct that you wrote, right?
D_WITNESS: I think we're now getting into form over substance, Mr. Hueston.

PROSECUTION: Well, that's what you would call your rules, then, form over substance, right?
D_WITNESS: No. The rules were very-very important. But, again, if I did notify Mr. Duncan, which I normally would have, then I would Jet him decide whether to take it up with the full committee or whether, in fact, it was even a large enough investment that he should take the time of the full committee.

PROSECUTION: Right. The rules were important, but you didn't follow them?
D_WITNESS: Rules are important, but they should not-you should not be a slave to rules, either....

PROSECUTION: One of the things your attorney said in opening was, quote, “He had real estate in Aspen. He could have sold his home up there. But that’s a long, tedious process; and he's got a wife and children to put up with."" Do you remember that statement?
D_WITNESS: I don't. I find the phrasing kind of interesting; but, no, I do not. I mean, he well may have said it.

PROSECUTION: Selling property in Aspen, in fact, was not a long, tedious process for you, was it?
","{
  ""belief"": ""The witness's answer 'Yes, it was....' is a clear admission that selling property was a long, tedious process, which directly confirms the prosecution’s implication. Although the answer is brief and answers the question, it ends up confirming a fact that undercuts the witness's position. This response aligns with the prosecution's argument and strengthens the logical force of their cross-examination."",
  ""Commitment_value"": ""1"",
  ""quality_rate"": ""1"",
  ""consistency_value"": ""0"",
  ""relevance_rate"": ""1"",
  ""manner_rate"": ""2"",
  ""outcome_value"": ""Questioner"",
  ""outcome_reason"": ""1""
}","The witness's answer 'Yes, it was....' is a clear admission that selling property was a long, tedious process, which directly confirms the prosecution’s implication. Although the answer is brief and answers the question, it ends up confirming a fact that undercuts the witness's position. This response aligns with the prosecution's argument and strengthens the logical force of their cross-examination.",1,1,0,1,2,Questioner,1,0,0,0,-0.8,0.0,1.0,1.0,5.0,-0.589924972990342,-0.9497967185698236,-0.23372519043674161,0.35987174557948165
