,Unnamed: 0,type,question,answer,source,all_history,raw_response,belief,Committment_value,quality_rate,consistency_value,relevance_rate,manner_rate,outcome_value,outcome_reason,relevance_binary,manner_binary,quality_binary,NRA,bat,pat,bat_cumsum,pat_cumsum,Z_BaT,Z_PaT,ZNRBaT,net_ZNRBaT
17,17,Q/A,"Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?",I knew there - nobody had to have the other evidence. I knew it myself.,enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
","{
  ""belief"": ""The defense is currently winning the turn due to the witness's evasive response."",
  ""Commitment_value"": ""2"",
  ""quality_rate"": ""0"",
  ""consistency_value"": ""1"",
  ""relevance_rate"": ""3"",
  ""manner_rate"": ""4"",
  ""outcome_value"": ""Questioner"",
  ""outcome_reason"": ""2""
}",The defense is currently winning the turn due to the witness's evasive response.,2,0,1,3,4,Questioner,2,1,1,0,-1,1.0,1.0,1.0,1.0,-1.6011746369411588,-1.1337664442961073,0.17090247239754053,-0.4674081926450515
18,18,Q/A,"Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?","I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-",enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
","{
  ""belief"": ""The defense is winning this turn, as the witness's response is evasive and inconsistent with previous testimony."",
  ""Commitment_value"": ""2"",
  ""quality_rate"": ""0"",
  ""consistency_value"": ""1"",
  ""relevance_rate"": ""1"",
  ""manner_rate"": ""4"",
  ""outcome_value"": ""Questioner"",
  ""outcome_reason"": ""3""
}

Explanation:

1. Commitment level: The witness is making a beneficial commitment by stating they were guilty, but this is not directly answering the question about whether someone showed them incriminating evidence. I rate it as a 2, beneficial commitment.

2. Truthfulness: The witness's statement about being guilty seems truthful, but their response is evasive and doesn't directly answer the question. I rate it as 0, not truthful.

3. Consistency: The witness's statement about being guilty is inconsistent with their previous testimony, where they seemed to be downplaying their guilt. I rate it as 1, inconsistent.

4. Relevance: The witness's response is very relevant to the question, as it addresses the issue of incriminating evidence. I rate it as 1, very relevant.

5. Clarity: The witness's response is unclear, as they are making a long and convoluted statement that doesn't directly answer the question. I rate it as 4, unclear.

6. Outcome: The defense is winning this turn, as the witness's response is evasive and inconsistent with previous testimony.

7. Reason for outcome: The reason for the defense winning this turn is the emotional appeal/bias, as the witness is trying to justify their guilty plea and downplay the significance of the incriminating evidence.","The defense is winning this turn, as the witness's response is evasive and inconsistent with previous testimony.",2,0,1,1,4,Questioner,3,0,1,0,-1,1.0,0.8,2.0,1.8,-1.2380216265008959,-0.9342235500999925,0.13985441407506502,-0.3037980764009034
19,19,Q/A,-cited there.,"They're cited here, yes. I wished that was all I did.",enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
","{
  ""belief"": ""The defense is more convincing in this current turn."",
  ""Commitment_value"": ""2"",
  ""quality_rate"": ""1"",
  ""consistency_value"": ""0"",
  ""relevance_rate"": ""1"",
  ""manner_rate"": ""2"",
  ""outcome_value"": ""Questioner"",
  ""outcome_reason"": ""1""
}

Explanation:
- Commitment level: The witness is making a beneficial commitment by agreeing that the incriminating evidence is cited, which benefits the defense. However, the witness's tone and language suggest a level of reluctance, making it a 2.
- Truthfulness: The witness's statement seems truthful, as they are acknowledging the existence of incriminating evidence. However, their tone and language suggest a level of defensiveness, making it a 1.
- Consistency: The witness's current statement is inconsistent with their previous testimony, where they seemed to downplay the significance of the incriminating evidence.
- Relevance: The witness's response is very relevant to the current question, as it directly addresses the existence of incriminating evidence.
- Clarity: The witness's response is slightly clear with hedging, as they seem to be trying to downplay the significance of the evidence while still acknowledging its existence.
- Outcome: The defense is more convincing in this current turn, as the witness's response seems to be a concession to the defense's argument.
- Reason: The defense's logical arguments are convincing, as they have successfully elicited a concession from the witness regarding the existence of incriminating evidence.",The defense is more convincing in this current turn.,2,1,0,1,2,Questioner,1,0,0,0,-1,1.0,0.0,3.0,1.8,-0.8748686160606332,-0.9342235500999925,-0.032809237223842644,0.05935493403935932
20,20,Q/A,"So, back to my question, then. You're still in the mode of protecting yourself, aren't you?","I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.",enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
","{
  ""belief"": ""The defense is gaining ground in this cross-examination, as the witness's response seems evasive and unclear."",
  ""Commitment_value"": ""2"",
  ""quality_rate"": ""0"",
  ""consistency_value"": ""1"",
  ""relevance_rate"": ""3"",
  ""manner_rate"": ""4"",
  ""outcome_value"": ""Questioner"",
  ""outcome_reason"": ""2""
}

Explanation:

1. Witness commitment level: The witness's response is beneficial to themselves, as they are trying to deflect the question and avoid taking responsibility for their actions. I would rate this as a 2, beneficial commitment.

2. Witness truthfulness in current turn: The witness's response seems evasive and unclear, which makes me question their truthfulness. I would rate this as 0, not truthful.

3. Consistency with previous testimony: The witness's previous testimony was inconsistent, as they initially stated they were guilty of aiding and abetting securities fraud, but now seem to be backtracking. However, in this current turn, their response is consistent with their previous testimony, as they are still trying to downplay their involvement. I would rate this as 0, consistent.

4. Response relevance: The witness's response is slightly irrelevant to the question, as they are trying to change the subject and avoid taking responsibility for their actions. I would rate this as 3, slightly irrelevant.

5. Response clarity: The witness's response is unclear, as they are using vague language and trying to deflect the question. I would rate this as 4, unclear.

6. Current turn outcome: The current turn outcome is in favor of the questioner, as the witness's response has not provided any clear or convincing answers to the question. I would rate this as Questioner.

7. Reasons for current outcome: The reason for the current outcome is a credibility attack on the witness, as their response seems evasive and unclear. I would rate this as 2, credibility attack on other side.","The defense is gaining ground in this cross-examination, as the witness's response seems evasive and unclear.",2,0,1,3,4,Questioner,2,1,1,0,-1,1.0,1.6,4.0,3.4000000000000004,-0.5117156056203703,-0.5351377617077626,-0.022373865164299258,0.023422156087392287
21,21,Q/A,"What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?","The fullness. The – staying on the right track, not-not concentrating on little issues or avoiding the questions. I would put that in the value category.",enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
P_WITNESS: I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.

DEFENSE: What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?
","{
  ""belief"": ""The defense is gaining ground in this cross-examination, but the witness is still holding their ground. However, the defense's logical arguments and credibility attack on the witness's previous testimony are starting to take effect."",
  ""Commitment_value"": ""3"",
  ""quality_rate"": ""1"",
  ""consistency_value"": ""0"",
  ""relevance_rate"": ""2"",
  ""manner_rate"": ""2"",
  ""outcome_value"": ""Questioner"",
  ""outcome_reason"": ""1""
}

Explanation:

1. Witness commitment level: The witness is trying to stay on track and not get sidetracked by the defense's questions, but their response is slightly unclear and hedging. I would rate their commitment level as neutral (3).

2. Witness truthfulness in current turn: The witness's response seems truthful, as they are trying to explain their previous testimony. I would rate their truthfulness as 1.

3. Consistency with previous testimony: The witness's response is inconsistent with their previous testimony, as they are now trying to downplay the significance of the incriminating evidence. I would rate their consistency as 1.

4. Response relevance: The witness's response is slightly relevant to the question, as they are trying to explain their previous testimony. I would rate their relevance as 2.

5. Response clarity: The witness's response is slightly unclear, as they are using vague terms like ""the fullness"" and ""staying on the right track"". I would rate their clarity as 2.

6. Current turn outcome: The current turn outcome is in favor of the questioner (defense), as they are gaining ground in the cross-examination.

7. Reasons for current outcome: The defense's logical arguments and credibility attack on the witness's previous testimony are convincing, which is why they are gaining ground in the cross-examination. I would rate the reason for the outcome as 1.","The defense is gaining ground in this cross-examination, but the witness is still holding their ground. However, the defense's logical arguments and credibility attack on the witness's previous testimony are starting to take effect.",3,1,0,2,2,Questioner,1,0,0,0,-1,0.5,0.0,4.5,3.4000000000000004,-0.33013910040023897,-0.5351377617077626,-0.23691684163159357,0.20499866130752364
22,22,Q/A,Might it also include how helpful you were to the cause of the Government?,No.,enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
P_WITNESS: I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.

DEFENSE: What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?
P_WITNESS: The fullness. The – staying on the right track, not-not concentrating on little issues or avoiding the questions. I would put that in the value category.

DEFENSE: Might it also include how helpful you were to the cause of the Government?
","{
  ""belief"": ""The defense is gaining ground in this cross-examination, but the witness is still holding on to their narrative."",
  ""Commitment_value"": ""3"",
  ""quality_rate"": ""1"",
  ""consistency_value"": ""0"",
  ""relevance_rate"": ""2"",
  ""manner_rate"": ""2"",
  ""outcome_value"": ""Questioner"",
  ""outcome_reason"": ""1""
}

Explanation:

- Commitment level: The witness is providing a neutral response, neither benefiting nor harming the questioner. They are not committing to a specific interpretation of the term ""the Department's assessment of the value of your assistance and your cooperation.""

- Truthfulness: The witness's response seems truthful, as they are providing a clear and direct answer to the question.

- Consistency: The witness's response is inconsistent with their previous testimony, as they previously seemed to be trying to justify their cooperation with the government. Now, they are downplaying the importance of their cooperation.

- Relevance: The response is slightly relevant to the question, as it provides some insight into the witness's understanding of the term.

- Clarity: The response is slightly clear, as the witness is providing a direct answer, but there is some hedging in their response.

- Outcome: The current turn outcome favors the questioner, as the witness's response has opened up a new line of questioning that could potentially undermine their credibility.

- Reason for the outcome: The logical arguments presented by the questioner are convincing, as they are able to point out inconsistencies in the witness's previous testimony and challenge their narrative.","The defense is gaining ground in this cross-examination, but the witness is still holding on to their narrative.",3,1,0,2,2,Questioner,1,0,0,0,-1,0.5,0.0,5.0,3.4000000000000004,-0.14856259518010753,-0.5351377617077626,-0.5654160666045333,0.3865751665276551
23,23,Q/A,Are you sure of that?,"I'm sure of that, because I don't know that I will, by all means and everything I say, help the Government....",enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
P_WITNESS: I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.

DEFENSE: What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?
P_WITNESS: The fullness. The – staying on the right track, not-not concentrating on little issues or avoiding the questions. I would put that in the value category.

DEFENSE: Might it also include how helpful you were to the cause of the Government?
P_WITNESS: No.

DEFENSE: Are you sure of that?
","{
  ""belief"": ""The defense is gaining ground in this cross-examination, and the witness's responses are becoming increasingly evasive and inconsistent."",
  ""Commitment_value"": ""2"",
  ""quality_rate"": ""0"",
  ""consistency_value"": ""1"",
  ""relevance_rate"": ""2"",
  ""manner_rate"": ""3"",
  ""outcome_value"": ""Questioner"",
  ""outcome_reason"": ""1""
}","The defense is gaining ground in this cross-examination, and the witness's responses are becoming increasingly evasive and inconsistent.",2,0,1,2,3,Questioner,1,0,1,0,-1,1.0,1.6,6.0,5.0,0.21459041526015527,-0.13605197331553295,4.464595679437175,0.3506423885756882
24,24,Q/A,"And at the time you pled guilty, how old were your three children?",Two of them. . .,enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
P_WITNESS: I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.

DEFENSE: What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?
P_WITNESS: The fullness. The – staying on the right track, not-not concentrating on little issues or avoiding the questions. I would put that in the value category.

DEFENSE: Might it also include how helpful you were to the cause of the Government?
P_WITNESS: No.

DEFENSE: Are you sure of that?
P_WITNESS: I'm sure of that, because I don't know that I will, by all means and everything I say, help the Government....

DEFENSE: And at the time you pled guilty, how old were your three children?
","{
  ""belief"": ""The defense is gaining ground in this cross-examination, as the witness's responses are becoming increasingly evasive and inconsistent."",
  ""Commitment_value"": ""2"",
  ""quality_rate"": ""0"",
  ""consistency_value"": ""1"",
  ""relevance_rate"": ""3"",
  ""manner_rate"": ""4"",
  ""outcome_value"": ""Questioner"",
  ""outcome_reason"": ""1""
}","The defense is gaining ground in this cross-examination, as the witness's responses are becoming increasingly evasive and inconsistent.",2,0,1,3,4,Questioner,1,1,1,0,-1,1.0,2.2,7.0,7.200000000000001,0.577743425700418,0.4126909857237832,0.1666465119475167,0.16505243997663482
28,28,Q/A,"Are you afraid, sir, as you sit here now? Do you have a fear of giving an answer that might alienate the Government because of the control they have over the rest of your life?",No.,enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
P_WITNESS: I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.

DEFENSE: What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?
P_WITNESS: The fullness. The – staying on the right track, not-not concentrating on little issues or avoiding the questions. I would put that in the value category.

DEFENSE: Might it also include how helpful you were to the cause of the Government?
P_WITNESS: No.

DEFENSE: Are you sure of that?
P_WITNESS: I'm sure of that, because I don't know that I will, by all means and everything I say, help the Government....

DEFENSE: And at the time you pled guilty, how old were your three children?
P_WITNESS: Two of them. . .

DEFENSE: Would you like to take a break, sir?
nan: nan

COURT: Why don't we take about a ten-minute break?
nan: nan

OTHERS: I'm fine. I'm fine…
nan: nan

DEFENSE: Are you afraid, sir, as you sit here now? Do you have a fear of giving an answer that might alienate the Government because of the control they have over the rest of your life?
","{
  ""belief"": ""The defense is gaining ground in this cross-examination, as the witness's responses are becoming increasingly inconsistent and evasive."",
  ""Commitment_value"": ""2"",
  ""quality_rate"": ""0"",
  ""consistency_value"": ""1"",
  ""relevance_rate"": ""2"",
  ""manner_rate"": ""3"",
  ""outcome_value"": ""Questioner"",
  ""outcome_reason"": ""2""
}","The defense is gaining ground in this cross-examination, as the witness's responses are becoming increasingly inconsistent and evasive.",2,0,1,2,3,Questioner,2,0,1,0,-1,1.0,2.0,8.0,9.200000000000001,0.9408964361406809,0.9115482212140704,0.015842964490242327,0.02934821492661044
29,29,Q/A,You have no fear at all?,"I'm past that....If I can answer your earlier question, my children, two are in college and one in high school.",enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
P_WITNESS: I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.

DEFENSE: What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?
P_WITNESS: The fullness. The – staying on the right track, not-not concentrating on little issues or avoiding the questions. I would put that in the value category.

DEFENSE: Might it also include how helpful you were to the cause of the Government?
P_WITNESS: No.

DEFENSE: Are you sure of that?
P_WITNESS: I'm sure of that, because I don't know that I will, by all means and everything I say, help the Government....

DEFENSE: And at the time you pled guilty, how old were your three children?
P_WITNESS: Two of them. . .

DEFENSE: Would you like to take a break, sir?
nan: nan

COURT: Why don't we take about a ten-minute break?
nan: nan

OTHERS: I'm fine. I'm fine…
nan: nan

DEFENSE: Are you afraid, sir, as you sit here now? Do you have a fear of giving an answer that might alienate the Government because of the control they have over the rest of your life?
P_WITNESS: No.

DEFENSE: You have no fear at all?
","{
  ""belief"": ""The defense is gaining ground in this cross-examination, and the witness's responses are becoming increasingly inconsistent and evasive."",
  ""Commitment_value"": ""2"",
  ""quality_rate"": ""0"",
  ""consistency_value"": ""1"",
  ""relevance_rate"": ""2"",
  ""manner_rate"": ""2"",
  ""outcome_value"": ""Questioner"",
  ""outcome_reason"": ""1""
}","The defense is gaining ground in this cross-examination, and the witness's responses are becoming increasingly inconsistent and evasive.",2,0,1,2,2,Questioner,1,0,0,0,-1,1.0,1.8,9.0,11.000000000000002,1.3040494465809438,1.360519733155329,-0.021193027001826355,-0.05647028657438513
