,Unnamed: 0,type,question,answer,source,all_history,raw_response,belief,Committment_value,quality_rate,consistency_value,relevance_rate,manner_rate,outcome_value,outcome_reason,relevance_binary,manner_binary,quality_binary,NRA,bat,pat,bat_cumsum,pat_cumsum,Z_BaT,Z_PaT,ZNRBaT,net_ZNRBaT
17,17,Q/A,"Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?",I knew there - nobody had to have the other evidence. I knew it myself.,enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
","{
    ""belief"": ""The witness's response does not directly address the question about being informed of the substantial amount of incriminating evidence. Instead, the witness shifts the focus to their own knowledge, which does not clearly answer the question asked."",
    ""Commitment_value"": ""3"",
    ""quality_rate"": ""0"",
    ""consistency_value"": ""0"",
    ""relevance_rate"": ""3"",
    ""manner_rate"": ""3"",
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": ""1""
}","The witness's response does not directly address the question about being informed of the substantial amount of incriminating evidence. Instead, the witness shifts the focus to their own knowledge, which does not clearly answer the question asked.",3,0,0,3,3,Questioner,1,1,1,0,-1.0,0.5,0.4,0.5,0.4,-1.812539163633793,-1.3481210547804654,0.1469370564249807,-0.4644181088533277
18,18,Q/A,"Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?","I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-",enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
","{
    ""belief"": ""The witness's response is somewhat confusing and does not directly address the question about whether they were shown any incriminating emails. The witness seems to be providing a broader context about their guilty plea and their review of their conduct, which is not directly relevant to the immediate question."",
    ""Commitment_value"": ""3"",
    ""quality_rate"": ""1"",
    ""consistency_value"": ""0"",
    ""relevance_rate"": ""3"",
    ""manner_rate"": ""3"",
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": ""1""
}","The witness's response is somewhat confusing and does not directly address the question about whether they were shown any incriminating emails. The witness seems to be providing a broader context about their guilty plea and their review of their conduct, which is not directly relevant to the immediate question.",3,1,0,3,3,Questioner,1,1,1,0,-1.0,0.5,0.4,1.0,0.8,-1.4602789021501938,-1.0204010193642197,0.17732149922729093,-0.4398778827859742
19,19,Q/A,-cited there.,"They're cited here, yes. I wished that was all I did.",enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
","{
    ""belief"": ""The witness's response indicates a commitment to the fact that there were multiple instances of misconduct, which aligns with the defense's attempt to highlight the substantial nature of the evidence against the witness. The response is somewhat unclear and slightly relevant, but it does not provide a clear advantage to either side."",
    ""Commitment_value"": ""2"",
    ""quality_rate"": ""1"",
    ""consistency_value"": ""0"",
    ""relevance_rate"": ""2"",
    ""manner_rate"": ""3"",
    ""outcome_value"": ""Witness"",
    ""outcome_reason"": ""2""
}","The witness's response indicates a commitment to the fact that there were multiple instances of misconduct, which aligns with the defense's attempt to highlight the substantial nature of the evidence against the witness. The response is somewhat unclear and slightly relevant, but it does not provide a clear advantage to either side.",2,1,0,2,3,Witness,2,0,1,0,-0.3333333333333333,1.0,0.4,2.0,1.2000000000000002,-0.7557583791829948,-0.6926809839479738,0.04354852321789427,-0.06307739523502098
20,20,Q/A,"So, back to my question, then. You're still in the mode of protecting yourself, aren't you?","I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.",enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
","{
    ""belief"": ""The witness's response does not directly address the question about protecting oneself, which makes it less effective in the context of the cross-examination. The witness seems to be trying to clarify their stance without conceding to the implication of the question."",
    ""Commitment_value"": ""3"",
    ""quality_rate"": ""1"",
    ""consistency_value"": ""0"",
    ""relevance_rate"": ""2"",
    ""manner_rate"": ""2"",
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": ""1""
}","The witness's response does not directly address the question about protecting oneself, which makes it less effective in the context of the cross-examination. The witness seems to be trying to clarify their stance without conceding to the implication of the question.",3,1,0,2,2,Questioner,1,0,0,0,-0.5,0.5,0.0,2.5,1.2000000000000002,-0.4034981176993954,-0.6926809839479738,-0.26380986995098354,0.2891828662485784
21,21,Q/A,"What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?","The fullness. The – staying on the right track, not-not concentrating on little issues or avoiding the questions. I would put that in the value category.",enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
P_WITNESS: I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.

DEFENSE: What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?
","{
    ""belief"": ""The witness's response seems to be an attempt to explain the value of their cooperation and assistance in a way that aligns with their understanding of the Department's assessment. However, the response is somewhat vague and does not directly address the question about the Department's specific assessment."",
    ""Commitment_value"": ""3"",
    ""quality_rate"": ""1"",
    ""consistency_value"": ""0"",
    ""relevance_rate"": ""2"",
    ""manner_rate"": ""2"",
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": ""1""
}","The witness's response seems to be an attempt to explain the value of their cooperation and assistance in a way that aligns with their understanding of the Department's assessment. However, the response is somewhat vague and does not directly address the question about the Department's specific assessment.",3,1,0,2,2,Questioner,1,0,0,0,-0.6,0.5,0.0,3.0,1.2000000000000002,-0.051237856215795984,-0.6926809839479738,-0.8622488006769226,0.6414431277321778
22,22,Q/A,Might it also include how helpful you were to the cause of the Government?,No.,enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
P_WITNESS: I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.

DEFENSE: What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?
P_WITNESS: The fullness. The – staying on the right track, not-not concentrating on little issues or avoiding the questions. I would put that in the value category.

DEFENSE: Might it also include how helpful you were to the cause of the Government?
","{
    ""belief"": ""The witness's response is not providing additional information that directly answers the question about the value of assistance and cooperation. The response is brief and does not elaborate on the specific aspects of the cooperation that might have been valuable to the government."",
    ""Commitment_value"": ""4"",
    ""quality_rate"": ""1"",
    ""consistency_value"": ""0"",
    ""relevance_rate"": ""2"",
    ""manner_rate"": ""1"",
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": ""1""
}",The witness's response is not providing additional information that directly answers the question about the value of assistance and cooperation. The response is brief and does not elaborate on the specific aspects of the cooperation that might have been valuable to the government.,4,1,0,2,1,Questioner,1,0,0,0,-0.6666666666666666,0.0,0.5,3.0,1.7000000000000002,-0.051237856215795984,-0.2830309396776666,-0.6934332079735831,0.23179308346187064
23,23,Q/A,Are you sure of that?,"I'm sure of that, because I don't know that I will, by all means and everything I say, help the Government....",enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
P_WITNESS: I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.

DEFENSE: What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?
P_WITNESS: The fullness. The – staying on the right track, not-not concentrating on little issues or avoiding the questions. I would put that in the value category.

DEFENSE: Might it also include how helpful you were to the cause of the Government?
P_WITNESS: No.

DEFENSE: Are you sure of that?
","{
    ""belief"": ""The witness's response seems to be an attempt to clarify their stance on how their cooperation was assessed, but it does not directly address the question about the value of their assistance to the Government. The response is somewhat unclear and introduces new elements that were not directly asked for, which could be seen as an attempt to shift the focus."",
    ""Commitment_value"": ""2"",
    ""quality_rate"": ""1"",
    ""consistency_value"": ""0"",
    ""relevance_rate"": ""2"",
    ""manner_rate"": ""3"",
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": ""1""
}","The witness's response seems to be an attempt to clarify their stance on how their cooperation was assessed, but it does not directly address the question about the value of their assistance to the Government. The response is somewhat unclear and introduces new elements that were not directly asked for, which could be seen as an attempt to shift the focus.",2,1,0,2,3,Questioner,1,0,1,0,-0.7142857142857143,1.0,0.4,4.0,2.1,0.6532826667514029,0.04468909573857907,0.8719458346591192,0.6085935710128239
24,24,Q/A,"And at the time you pled guilty, how old were your three children?",Two of them. . .,enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
P_WITNESS: I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.

DEFENSE: What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?
P_WITNESS: The fullness. The – staying on the right track, not-not concentrating on little issues or avoiding the questions. I would put that in the value category.

DEFENSE: Might it also include how helpful you were to the cause of the Government?
P_WITNESS: No.

DEFENSE: Are you sure of that?
P_WITNESS: I'm sure of that, because I don't know that I will, by all means and everything I say, help the Government....

DEFENSE: And at the time you pled guilty, how old were your three children?
","{
    ""belief"": ""The witness's response is unclear and does not directly answer the question about the ages of the witness's children. This lack of clarity and relevance benefits the questioner as it leaves the question open-ended and potentially allows for further probing."",
    ""Commitment_value"": ""4"",
    ""quality_rate"": ""0"",
    ""consistency_value"": ""0"",
    ""relevance_rate"": ""4"",
    ""manner_rate"": ""4"",
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": ""1""
}",The witness's response is unclear and does not directly answer the question about the ages of the witness's children. This lack of clarity and relevance benefits the questioner as it leaves the question open-ended and potentially allows for further probing.,4,0,0,4,4,Questioner,1,1,1,0,-0.75,0.0,0.5,4.0,2.6,0.6532826667514029,0.45433914000888626,0.1796132267605055,0.19894352674251664
28,28,Q/A,"Are you afraid, sir, as you sit here now? Do you have a fear of giving an answer that might alienate the Government because of the control they have over the rest of your life?",No.,enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
P_WITNESS: I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.

DEFENSE: What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?
P_WITNESS: The fullness. The – staying on the right track, not-not concentrating on little issues or avoiding the questions. I would put that in the value category.

DEFENSE: Might it also include how helpful you were to the cause of the Government?
P_WITNESS: No.

DEFENSE: Are you sure of that?
P_WITNESS: I'm sure of that, because I don't know that I will, by all means and everything I say, help the Government....

DEFENSE: And at the time you pled guilty, how old were your three children?
P_WITNESS: Two of them. . .

DEFENSE: Would you like to take a break, sir?
nan: nan

COURT: Why don't we take about a ten-minute break?
nan: nan

OTHERS: I'm fine. I'm fine…
nan: nan

DEFENSE: Are you afraid, sir, as you sit here now? Do you have a fear of giving an answer that might alienate the Government because of the control they have over the rest of your life?
","{
    ""belief"": ""The witness's response is straightforward and does not provide additional information that could be used against them or in their favor. It is clear and relevant to the question asked."",
    ""Commitment_value"": ""4"",
    ""quality_rate"": ""1"",
    ""consistency_value"": ""0"",
    ""relevance_rate"": ""1"",
    ""manner_rate"": ""1"",
    ""outcome_value"": ""Witness"",
    ""outcome_reason"": ""1""
}",The witness's response is straightforward and does not provide additional information that could be used against them or in their favor. It is clear and relevant to the question asked.,4,1,0,1,1,Witness,1,0,0,0,-0.5555555555555556,0.0,0.5,4.0,3.1,0.6532826667514029,0.8639891842791935,-0.13887196113515823,-0.21070651752779057
29,29,Q/A,You have no fear at all?,"I'm past that....If I can answer your earlier question, my children, two are in college and one in high school.",enron_prosecution_1,"DEFENSE: Now, when you entered into this plea of guilty, had you been informed that there was a substantial amount of incriminating evidence against you?
P_WITNESS: I knew there - nobody had to have the other evidence. I knew it myself.

DEFENSE: Other than what you personally thought in your own mind, did someone show you any incriminating e-mails that showed that you were guilty?
P_WITNESS: I reviewed my conduct for many years after I left Enron as I was defending myself in the civil cases. Yes, I was guilty of aiding and abetting securities fraud....I didn't plead guilty to one statement on this conference call. That's not petty or whatever you called it – thin? I don't think it's thin or I wouldn't have pled guilty to it. You have three Q and A items there- No. That's not-

DEFENSE: -cited there.
P_WITNESS: They're cited here, yes. I wished that was all I did.

DEFENSE: So, back to my question, then. You're still in the mode of protecting yourself, aren't you?
P_WITNESS: I don't know what you mean by ""protecting"" myself, but I don't feel that in the last three days I've protected myself in any way.

DEFENSE: What does it mean to say ""the Department's assessment of the value of your assistance and your cooperation""?
P_WITNESS: The fullness. The – staying on the right track, not-not concentrating on little issues or avoiding the questions. I would put that in the value category.

DEFENSE: Might it also include how helpful you were to the cause of the Government?
P_WITNESS: No.

DEFENSE: Are you sure of that?
P_WITNESS: I'm sure of that, because I don't know that I will, by all means and everything I say, help the Government....

DEFENSE: And at the time you pled guilty, how old were your three children?
P_WITNESS: Two of them. . .

DEFENSE: Would you like to take a break, sir?
nan: nan

COURT: Why don't we take about a ten-minute break?
nan: nan

OTHERS: I'm fine. I'm fine…
nan: nan

DEFENSE: Are you afraid, sir, as you sit here now? Do you have a fear of giving an answer that might alienate the Government because of the control they have over the rest of your life?
P_WITNESS: No.

DEFENSE: You have no fear at all?
","{
    ""belief"": ""The witness's response is somewhat evasive and does not directly address the question about fear, instead shifting to a discussion about his children's ages. This suggests a lack of direct engagement with the question at hand, which could be seen as an attempt to avoid a direct answer."",
    ""Commitment_value"": ""1"",
    ""quality_rate"": ""1"",
    ""consistency_value"": ""0"",
    ""relevance_rate"": ""3"",
    ""manner_rate"": ""2"",
    ""outcome_value"": ""Questioner"",
    ""outcome_reason"": ""1""
}","The witness's response is somewhat evasive and does not directly address the question about fear, instead shifting to a discussion about his children's ages. This suggests a lack of direct engagement with the question at hand, which could be seen as an attempt to avoid a direct answer.",1,1,0,3,2,Questioner,1,1,0,0,-0.6,0.4,1.0,4.4,4.1,0.9350908759382827,1.6832892728198074,-0.2857485752160162,-0.7481983968815248
